d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,v,a,ax,ay,az,amb,spad,label
-860,-662,-662,-662,-662,-662,-662,-662,-662,-662,28,8,-24,0,282,736,266,0
-894,-860,-662,-662,-662,-662,-662,-662,-662,-662,52,14,-24,-1,282,704,636,0
-897,-894,-860,-662,-662,-662,-662,-662,-662,-662,72,20,-24,-1,282,1000,736,0
-905,-897,-894,-860,-662,-662,-662,-662,-662,-662,92,29,-24,-1,281,800,666,0
-857,-905,-897,-894,-860,-662,-662,-662,-662,-662,4,-1,-24,-1,282,608,232,0
-724,-857,-857,-857,-857,-857,-857,-857,-857,-905,-112,-23,-24,-1,281,800,125,0
-841,-803,-724,-857,-857,-857,-857,-857,-857,-857,-56,-18,-24,-1,282,960,198,0
-800,-841,-803,-724,-857,-857,-857,-857,-857,-857,-32,-7,-24,-2,282,960,166,0
-896,-800,-800,-800,-800,-800,-800,-800,-841,-803,88,26,-24,-1,282,896,1000,1
-872,-896,-800,-800,-800,-800,-800,-800,-800,-841,52,20,-24,-1,281,32,707,0
-806,-872,-896,-800,-800,-800,-800,-800,-800,-800,20,14,-24,-1,282,64,644,0
-800,-806,-872,-896,-800,-800,-800,-800,-800,-800,12,8,-24,-1,282,544,724,0
-798,-800,-806,-872,-896,-800,-800,-800,-800,-800,-180,-77,-24,-1,282,640,740,0
-793,-798,-800,-806,-872,-896,-800,-800,-800,-800,-112,-71,-24,-1,282,960,737,0
-798,-793,-798,-800,-806,-872,-896,-800,-800,-800,-16,-26,-24,-1,282,448,898,0
-865,-798,-793,-798,-800,-806,-872,-896,-800,-800,88,42,-24,-1,282,128,904,0
-907,-865,-798,-793,-798,-800,-806,-872,-896,-800,196,128,-24,-1,282,96,447,0
-931,-907,-865,-798,-793,-798,-800,-806,-872,-896,260,129,-24,-1,281,64,625,0
-953,-931,-907,-865,-798,-793,-798,-800,-806,-872,256,96,-24,-1,281,32,730,0
-955,-953,-931,-907,-865,-798,-793,-798,-800,-806,152,25,-24,-1,282,160,883,0
-964,-955,-953,-931,-907,-865,-798,-793,-798,-800,96,-41,-24,-1,282,32,661,0
-971,-964,-955,-953,-931,-907,-865,-798,-793,-798,60,-75,-24,-1,282,32,728,0
-977,-971,-964,-955,-953,-931,-907,-865,-798,-793,44,-69,-24,-1,281,0,765,0
-984,-977,-971,-964,-955,-953,-931,-907,-865,-798,48,-35,-24,-1,282,64,781,0
-993,-984,-977,-971,-964,-955,-953,-931,-907,-865,48,-14,-24,-1,283,0,726,0
-995,-993,-984,-977,-971,-964,-955,-953,-931,-907,44,-3,-24,-1,282,0,729,0
-998,-995,-993,-984,-977,-971,-964,-955,-953,-931,36,-2,-24,-1,282,64,765,0
-996,-998,-995,-993,-984,-977,-971,-964,-955,-953,20,-9,-24,-2,282,64,801,0
-1000,-996,-998,-995,-993,-984,-977,-971,-964,-955,8,-13,-24,-1,282,0,434,0
-990,-1000,-996,-998,-995,-993,-984,-977,-971,-964,-4,-16,-24,-1,282,0,744,0
-987,-990,-1000,-996,-998,-995,-993,-984,-977,-971,-20,-18,-25,-1,282,0,676,0
-960,-987,-990,-1000,-996,-998,-995,-993,-984,-977,-56,-24,-24,-1,282,96,662,0
-913,-960,-987,-990,-1000,-996,-998,-995,-993,-984,-136,-46,-24,-1,283,32,626,0
-832,-913,-960,-987,-990,-1000,-996,-998,-995,-993,-264,-86,-24,-1,282,768,371,0
-862,-796,-614,-832,-832,-832,-832,-832,-832,-832,-24,6,-24,-1,282,384,952,0
-888,-862,-796,-614,-832,-832,-832,-832,-832,-832,-4,10,-24,-1,283,224,870,0
-929,-888,-862,-796,-614,-832,-832,-832,-832,-832,488,155,-24,-1,282,128,472,0
-969,-929,-888,-862,-796,-614,-832,-832,-832,-832,280,156,-24,-1,282,192,855,0
-979,-969,-929,-888,-862,-796,-614,-832,-832,-832,212,102,-24,-1,281,32,708,0
